Country Code;2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021];2022 [YR2022];2023 [YR2023];2024 [YR2024]
USA;2,89;2,53;1,8;1,04;-0,82;-3,43;1,83;0,76;1,48;1,35;1,71;2,13;1,02;1,75;2,36;2,06;-2,56;0,59;1,92;2,04;1,8
LUX;2,76;0,93;4,34;6,44;-2,06;-5,01;1,88;-1,18;-0,76;0,81;0,23;-0,12;2,74;-1,12;-0,33;0,75;-2,15;5,32;-3,07;-2,68;-0,65
CHE;2;2,09;3,42;2,99;1,51;-3,51;2,17;0,69;0,11;0,63;1,11;0,49;0,96;0,42;2,11;0,42;-2,85;4,75;0,22;-0,57;-0,33
CHL;5,6;4,79;5,02;4,14;2,75;-2,11;4,79;5,18;5,14;2,33;0,78;1,11;0,53;-0,24;2,15;-0,96;-6,98;0,11;1,65;-0,02;2,09
POL;5,15;3,31;6,27;6,82;4,37;2,55;3,46;5,2;1,51;0,75;4;4,5;3,08;5,14;6,25;4,61;-0,86;8,47;0,57;0,62;3,3
ETH;1,02;8,55;7,63;8,24;7,63;5,76;9,4;8,06;5,64;7,62;7,34;7,47;6,51;6,62;3,97;5,49;3,22;2,86;2,6;3,85;4,58
VNM;6,5;6,55;5,57;5,25;3,75;3,83;5,21;0,52;4,28;4,31;5,14;5,67;5,35;5,62;6,28;6,32;1,92;1,67;0,77;4,36;0,64
IRL;0,49;3,46;0,22;2,31;-6,41;-6,05;0,11;1,21;-0,82;1,66;8,54;2,34;-0,07;8,57;5,99;3,39;5,81;1,46;6,49;-7,22;-0,15
GBR;1,88;2,03;1,63;1,83;-1,03;-5,34;1,44;0,35;0,79;1,12;2,43;1,49;1,12;2,1;0,91;1,1;-1,04;8,19;3,88;-0,9;0,03
KOR;4,78;4,09;4,71;5,27;2,23;0,28;6,27;2,89;1,87;2,7;2,56;2,27;0,25;2,87;2,46;0,19;-0,85;4,44;2,81;0,13;1,28
NGA;6,27;3,53;0,32;3,68;3,83;5,07;5,03;2,40;1,38;3,81;3,54;0,08;-4,02;-1,62;-0,04;-0,01;-3,86;1,50;1,11;0,72;1,29
BGD;3,82;5,20;5,44;5,91;4,96;4,07;4,65;0,06;5,51;5,02;5,10;5,60;6,16;5,69;6,44;6,97;2,59;6,07;6,01;0,45;2,96
PAK;5,20;0,47;3,56;1,72;-0,58;0,88;-0,98;0,41;1,08;2,68;2,57;2,77;5,20;2,97;4,44;0,78;-3,04;4,52;2,96;-1,58;1,69
EGY;1,97;2,38;4,78;0,51;5,17;0,27;3,15;-0,35;-0,04;-0,14;0,60;2,20;2,24;2,12;3,35;3,72;1,88;1,76;5,02;2,02;0,64
PHL;4,52;3,01;3,56;4,69;2,52;-0,36;5,16;1,84;0,48;4,76;4,62;0,48;0,57;5,56;5,03;4,84;-1,05;4,76;6,77;4,67;4,82
MAR;3,21;1,78;6,31;2,03;4,25;2,34;2,08;4,07;1,66;0,28;1,44;3,11;-0,69;3,78;1,91;1,82;-8,14;0,71;0,50;2,34;3,19
IDN;0,37;0,43;4,11;4,95;4,65;3,31;4,89;4,82;4,68;4,26;3,78;3,71;3,91;4,00;4,16;0,40;-2,89;2,97;4,52;4,17;0,42
IND;6,10;6,18;6,38;6,05;1,61;6,31;6,93;3,76;4,02;4,98;6,06;6,72;6,97;0,06;5,29;2,80;-6,69;8,79;6,76;8,23;5,54
PER;3,93;5,34;6,68;7,73;0,84;0,47;0,76;5,54;5,26;4,90;1,37;2,09;2,58;1,02;0,21;0,50;-0,12;1,23;1,83;-1,49;2,18
MOZ;5,76;3,88;7,36;5,12;4,28;3,22;3,86;4,19;4,94;3,54;4,63;4,32;1,67;-0,38;0,45;-0,65;-4,11;-0,61;1,33;2,37;-1,08
DEU;1,18;0,94;0,40;3,03;1,10;-5,31;4,31;5,70;0,29;0,12;1,74;0,78;1,47;2,33;0,81;0,76;-4,17;3,63;0,64;-0,39;0,23
ESP;1,35;1,82;2,30;1,63;-0,83;-4,62;-0,37;-0,99;-2,93;-1,07;1,83;4,15;2,84;2,65;1,93;1,23;-1,14;6,49;5,42;1,48;2,18
JPN;2,15;1,79;0,13;1,37;-1,27;-5,68;4,08;0,21;1,54;2,15;0,43;1,67;0,81;1,76;0,77;-0,26;-3,89;3,17;1,39;1,97;0,52
CAN;2,14;2,24;1,60;1,06;-0,09;-4,02;1,95;2,14;0,66;0,13;1,85;-0,11;-0,10;0,18;1,28;0,43;-6,06;5,37;2,33;-1,38;-1,44
AUS;0,31;1,91;1,38;1,90;1,53;-0,19;0,64;0,99;2,12;0,85;1,08;0,73;1,17;0,61;1,35;0,67;-1,34;1,97;2,92;0,96;-0,63
NOR;3,40;1,99;1,64;1,85;-0,76;-3,17;-0,46;-0,20;1,38;-0,20;0,90;0,85;0,28;1,64;0,17;0,44;-1,86;3,35;2,32;-1,06;1,14
NLD;1,66;1,80;3,37;0,37;1,72;-4,16;0,80;1,30;-1,34;-0,32;1,25;1,67;1,88;2,18;1,66;1,63;-4,40;5,72;0,40;-0,91;0,32
DNK;2,51;2,08;3,48;0,54;-1,00;-5,48;1,13;0,89;-0,38;0,97;0,77;1,39;2,27;2,40;1,36;1,35;-2,07;6,92;0,74;1,74;3,16
SWE;3,77;2,38;4,09;2,46;-1,69;-0,51;0,05;2,39;-1,15;0,28;1,29;3,31;1,07;0,46;0,73;1,52;-2,71;5,30;0,77;-0,06;0,66
FIN;3,70;2,43;3,62;4,87;0,32;-8,51;2,70;1,92;-1,99;-1,43;-0,89;0,14;2,28;3,06;1,06;1,24;-2,63;2,46;0,49;-1,44;-1,10
;;;;;;;;;;;;;;;;;;;;;
